base__hugo	base__num_variants	base__so	base__all_so	base__note	pubmed__n	pubmed__term	uniprot__acc
EIF2S2	40	MIS	MIS(1),SYN(1),INT(31),UT5(1),UT3(1),2KU(4),2KD(1)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=EIF2S2[TIAB] AND cancer[MH]	P20042[WEB:]https://www.uniprot.org/uniprot/P20042
EIF6	1	2KU	2KU(1)		8	http://www.ncbi.nlm.nih.gov/pubmed?term=EIF6[TIAB] AND cancer[MH]	P56537[WEB:]https://www.uniprot.org/uniprot/P56537
ELMO2	95	MIS	MIS(4),INT(79),UT3(3),2KU(4),2KD(5)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=ELMO2[TIAB] AND cancer[MH]	Q96JJ3[WEB:]https://www.uniprot.org/uniprot/Q96JJ3
EMILIN3	21	MIS	MIS(2),INT(7),UT5(1),UT3(4),2KU(5),2KD(2)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=EMILIN3[TIAB] AND cancer[TIAB]	Q9NT22[WEB:]https://www.uniprot.org/uniprot/Q9NT22
ENTPD6	12	INT	INT(6),2KU(6)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=ENTPD6[TIAB] AND cancer[MH]	O75354[WEB:]https://www.uniprot.org/uniprot/O75354
EPB41L1	216	MIS	MIS(1),SYN(1),INT(180),UT3(14),2KU(5),2KD(15)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=EPB41L1[TIAB] AND cancer[MH]	Q9H4G0[WEB:]https://www.uniprot.org/uniprot/Q9H4G0
EPPIN	16	INT	INT(6),UT5(1),UT3(1),2KU(3),2KD(5)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=EPPIN[TIAB] AND cancer[MH]	O95925[WEB:]https://www.uniprot.org/uniprot/O95925
EPPIN-WFDC6	22	INT	INT(13),2KU(4),2KD(5)				O95925;Q9BQY6[WEB:]https://www.uniprot.org/uniprot/O95925;Q9BQY6
ERGIC3	32	FSI	FSI(1),SYN(1),INT(25),2KU(2),2KD(3)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=ERGIC3[TIAB] AND cancer[MH]	Q9Y282[WEB:]https://www.uniprot.org/uniprot/Q9Y282
ESF1	117	FSI	FSI(1),SYN(2),INT(109),2KU(1),2KD(4)				Q9H501[WEB:]https://www.uniprot.org/uniprot/Q9H501
EYA2	599	FSD	FSD(1),MIS(6),INT(581),UT5(1),2KU(4),2KD(6)		12	http://www.ncbi.nlm.nih.gov/pubmed?term=EYA2[TIAB] AND cancer[MH]	O00167[WEB:]https://www.uniprot.org/uniprot/O00167
FAM110A	44	INT	INT(30),UT5(1),2KU(2),2KD(11)				Q9BQ89[WEB:]https://www.uniprot.org/uniprot/Q9BQ89
FAM182B	11	INT	INT(10),2KD(1)				Q5T319[WEB:]https://www.uniprot.org/uniprot/Q5T319
FAM209A	37	MIS	MIS(1),SYN(2),INT(7),UT5(3),2KU(10),2KD(14)				Q5JX71[WEB:]https://www.uniprot.org/uniprot/Q5JX71
FAM209B	23	FSI	FSI(1),MIS(1),INT(7),2KU(8),2KD(6)				Q5JX69[WEB:]https://www.uniprot.org/uniprot/Q5JX69
FAM210B	34	FSD	FSD(1),SYN(1),INT(13),UT3(5),2KU(9),2KD(5)				Q96KR6[WEB:]https://www.uniprot.org/uniprot/Q96KR6
FAM217B	34	MIS	MIS(1),INT(22),UT3(6),2KU(4),2KD(1)				Q9NTX9[WEB:]https://www.uniprot.org/uniprot/Q9NTX9
FAM65C	255	MIS	MIS(2),SYN(1),INT(225),UT5(2),UT3(3),2KU(16),2KD(6)				
FAM83C	2	INT	INT(1),UT3(1)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=FAM83C[TIAB] AND cancer[TIAB]	Q9BQN1[WEB:]https://www.uniprot.org/uniprot/Q9BQN1
FAM83D	29	FSI	FSI(1),MIS(1),SYN(3),INT(21),UT3(2),2KD(1)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=FAM83D[TIAB] AND cancer[MH]	Q9H4H8[WEB:]https://www.uniprot.org/uniprot/Q9H4H8
FASTKD5	29	FSI	FSI(1),MIS(5),SYN(1),INT(13),2KU(4),2KD(5)				Q7L8L6[WEB:]https://www.uniprot.org/uniprot/Q7L8L6
FERMT1	105	MIS	MIS(2),SYN(1),INT(96),UT5(1),2KU(5)		8	http://www.ncbi.nlm.nih.gov/pubmed?term=FERMT1[TIAB] AND cancer[MH]	Q9BQL6[WEB:]https://www.uniprot.org/uniprot/Q9BQL6
FITM2	1	UT3	UT3(1)				Q8N6M3[WEB:]https://www.uniprot.org/uniprot/Q8N6M3
FKBP1A	51	SYN	SYN(1),INT(44),UT3(3),2KU(1),2KD(2)		3	http://www.ncbi.nlm.nih.gov/pubmed?term=FKBP1A[TIAB] AND cancer[MH]	P62942[WEB:]https://www.uniprot.org/uniprot/P62942
FLRT3	23	INT	INT(17),UT3(1),2KU(4),2KD(1)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=FLRT3[TIAB] AND cancer[MH]	Q9NZU0[WEB:]https://www.uniprot.org/uniprot/Q9NZU0
FOXA2	15	MIS	MIS(1),UT5(1),UT3(2),2KU(7),2KD(4)		52	http://www.ncbi.nlm.nih.gov/pubmed?term=FOXA2[TIAB] AND cancer[MH]	Q9Y261[WEB:]https://www.uniprot.org/uniprot/Q9Y261
FOXS1	13	MIS	MIS(2),2KU(7),2KD(4)				O43638[WEB:]https://www.uniprot.org/uniprot/O43638
GATA5	34	MIS	MIS(2),INT(24),UT3(4),2KU(3),2KD(1)		21	http://www.ncbi.nlm.nih.gov/pubmed?term=GATA5[TIAB] AND cancer[MH]	Q9BWX5[WEB:]https://www.uniprot.org/uniprot/Q9BWX5
GCNT7	120	FSD	FSD(1),MIS(4),SYN(2),INT(95),UT5(1),2KU(13),2KD(4)				Q6ZNI0[WEB:]https://www.uniprot.org/uniprot/Q6ZNI0
GDAP1L1	5	INT	INT(5)				Q96MZ0[WEB:]https://www.uniprot.org/uniprot/Q96MZ0
GDF5	16	INT	INT(10),UT5(1),2KU(2),2KD(3)		7	http://www.ncbi.nlm.nih.gov/pubmed?term=GDF5[MH] AND cancer[MH]	P43026[WEB:]https://www.uniprot.org/uniprot/P43026
GDF5OS	3	2KU	2KU(3)				Q5U4N7[WEB:]https://www.uniprot.org/uniprot/Q5U4N7
GFRA4	19	FSI	FSI(1),MIS(2),SYN(1),INT(3),UT3(1),2KU(6),2KD(5)		3	http://www.ncbi.nlm.nih.gov/pubmed?term=GFRA4[TIAB] AND cancer[MH]	Q9GZZ7[WEB:]https://www.uniprot.org/uniprot/Q9GZZ7
GGT7	41	MIS	MIS(2),SYN(1),INT(36),2KD(2)				Q9UJ14[WEB:]https://www.uniprot.org/uniprot/Q9UJ14
GGTLC1	51	FSD	FSD(1),MIS(3),SYN(2),INT(19),UT3(1),2KU(19),2KD(6)				Q9BX51[WEB:]https://www.uniprot.org/uniprot/Q9BX51
GHRH	11	INT	INT(7),UT5(1),2KU(1),2KD(2)		447	http://www.ncbi.nlm.nih.gov/pubmed?term=GHRH[TIAB] AND cancer[MH]	P01286[WEB:]https://www.uniprot.org/uniprot/P01286
GID8	7	IND	IND(1),INT(1),UT3(2),2KD(3)				Q9NWU2[WEB:]https://www.uniprot.org/uniprot/Q9NWU2
GINS1	27	INT	INT(23),UT3(1),2KU(3)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=GINS1[TIAB] AND cancer[MH]	Q14691[WEB:]https://www.uniprot.org/uniprot/Q14691
GNAS	59	MIS	MIS(1),INT(52),UT3(1),2KU(1),2KD(4)		83	http://www.ncbi.nlm.nih.gov/pubmed?term=GNAS[TIAB] AND cancer[MH]	O95467;P63092;P84996;Q5JWF2[WEB:]https://www.uniprot.org/uniprot/O95467;P63092;P84996;Q5JWF2
GNRH2	23	MIS	MIS(1),SYN(1),INT(12),2KU(3),2KD(6)		6	http://www.ncbi.nlm.nih.gov/pubmed?term=GNRH2[TIAB] AND cancer[MH]	O43555[WEB:]https://www.uniprot.org/uniprot/O43555
GPCPD1	131	INT	INT(119),UT5(2),UT3(3),2KU(3),2KD(4)				Q9NPB8[WEB:]https://www.uniprot.org/uniprot/Q9NPB8
GSS	12	INT	INT(9),2KU(3)		69	http://www.ncbi.nlm.nih.gov/pubmed?term=GSS[TIAB] AND cancer[MH]	P48637[WEB:]https://www.uniprot.org/uniprot/P48637
GTSF1L	2	2KU	2KU(1),2KD(1)				Q9H1H1[WEB:]https://www.uniprot.org/uniprot/Q9H1H1
GZF1	21	MIS	MIS(1),SYN(1),INT(11),UT3(2),2KU(1),2KD(5)				Q9H116[WEB:]https://www.uniprot.org/uniprot/Q9H116
HAO1	138	INT	INT(125),UT5(1),UT3(2),2KU(5),2KD(5)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=HAO1[TIAB] AND cancer[MH]	Q9UJM8[WEB:]https://www.uniprot.org/uniprot/Q9UJM8
HCK	57	MIS	MIS(1),SYN(2),INT(48),2KU(1),2KD(5)		92	http://www.ncbi.nlm.nih.gov/pubmed?term=HCK[TIAB] AND cancer[MH]	P08631[WEB:]https://www.uniprot.org/uniprot/P08631
HM13	120	MIS	MIS(2),INT(108),UT3(2),2KU(4),2KD(4)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=HM13[TIAB] AND cancer[MH]	Q8TCT9[WEB:]https://www.uniprot.org/uniprot/Q8TCT9
HNF4A	291	FSD	FSD(1),SYN(2),INT(276),UT3(7),2KU(2),2KD(3)		14	http://www.ncbi.nlm.nih.gov/pubmed?term=HNF4A[TIAB] AND cancer[MH]	P41235[WEB:]https://www.uniprot.org/uniprot/P41235
HRH3	19	MIS	MIS(3),INT(7),2KU(3),2KD(6)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=HRH3[TIAB] AND cancer[MH]	Q9Y5N1[WEB:]https://www.uniprot.org/uniprot/Q9Y5N1
HSPA12B	66	FSD	FSD(1),MIS(3),SYN(3),INT(41),UT5(1),UT3(4),2KU(4),2KD(9)				Q96MM6[WEB:]https://www.uniprot.org/uniprot/Q96MM6
ID1	9	2KU	2KU(5),2KD(4)		218	http://www.ncbi.nlm.nih.gov/pubmed?term=ID1[TIAB] AND cancer[MH]	P41134[WEB:]https://www.uniprot.org/uniprot/P41134
IDH3B	17	FSD	FSD(1),MIS(2),INT(8),2KU(5),2KD(1)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=IDH3B[TIAB] AND cancer[MH]	O43837[WEB:]https://www.uniprot.org/uniprot/O43837
IFT52	50	INT	INT(45),UT3(1),2KU(2),2KD(2)				Q9Y366[WEB:]https://www.uniprot.org/uniprot/Q9Y366
INSM1	17	MIS	MIS(4),UT3(1),2KU(5),2KD(7)		13	http://www.ncbi.nlm.nih.gov/pubmed?term=INSM1[TIAB] AND cancer[MH]	Q01101[WEB:]https://www.uniprot.org/uniprot/Q01101
ISM1	170	INT	INT(160),2KU(7),2KD(3)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=ISM1[TIAB] AND cancer[MH]	B1AKI9[WEB:]https://www.uniprot.org/uniprot/B1AKI9
ITCH	151	MIS	MIS(3),SYN(2),INT(139),UT3(2),2KU(1),2KD(4)		932	http://www.ncbi.nlm.nih.gov/pubmed?term=ITCH[MH] AND cancer[MH]	Q96J02[WEB:]https://www.uniprot.org/uniprot/Q96J02
ITPA	50	SPL	SPL(1),MIS(1),SYN(1),INT(28),UT5(1),UT3(1),2KU(5),2KD(12)		15	http://www.ncbi.nlm.nih.gov/pubmed?term=ITPA[TIAB] AND cancer[MH]	Q9BY32[WEB:]https://www.uniprot.org/uniprot/Q9BY32
JAG1	52	STG	STG(1),MIS(4),SYN(3),INT(33),UT3(4),2KU(5),2KD(2)		62	http://www.ncbi.nlm.nih.gov/pubmed?term=JAG1[TIAB] AND cancer[MH]	P78504[WEB:]https://www.uniprot.org/uniprot/P78504
JPH2	188	MIS	MIS(2),SYN(2),INT(158),UT5(6),UT3(5),2KU(15)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=JPH2[TIAB] AND cancer[MH]	Q9BR39[WEB:]https://www.uniprot.org/uniprot/Q9BR39
KCNB1	232	FSI	FSI(1),SYN(1),INT(204),UT5(1),UT3(19),2KU(5),2KD(1)				Q14721[WEB:]https://www.uniprot.org/uniprot/Q14721
KCNG1	111	MIS	MIS(4),SYN(4),INT(92),UT5(1),UT3(1),2KU(5),2KD(4)				Q9UIX4[WEB:]https://www.uniprot.org/uniprot/Q9UIX4
KCNK15	12	SYN	SYN(1),UNK(1),INT(8),2KD(2)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=KCNK15[TIAB] AND cancer[MH]	Q9H427[WEB:]https://www.uniprot.org/uniprot/Q9H427
KCNS1	27	SYN	SYN(3),INT(11),UT3(4),2KU(4),2KD(5)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=KCNS1[TIAB] AND cancer[TIAB]	Q96KK3[WEB:]https://www.uniprot.org/uniprot/Q96KK3
KIAA1755	122	MIS	MIS(2),SYN(3),INT(104),UT3(2),2KU(11)				Q5JYT7[WEB:]https://www.uniprot.org/uniprot/Q5JYT7
KIF16B	512	FSI	FSI(2),MIS(5),SYN(2),INT(498),2KU(5)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=KIF16B[TIAB] AND cancer[MH]	Q96L93[WEB:]https://www.uniprot.org/uniprot/Q96L93
KIF3B	122	MIS	MIS(1),SYN(3),INT(102),UT3(10),2KU(3),2KD(3)		5	http://www.ncbi.nlm.nih.gov/pubmed?term=KIF3B[TIAB] AND cancer[MH]	O15066[WEB:]https://www.uniprot.org/uniprot/O15066
KIZ	228	MIS	MIS(1),SYN(1),INT(218),2KU(5),2KD(3)				Q2M2Z5[WEB:]https://www.uniprot.org/uniprot/Q2M2Z5
L3MBTL1	75	MIS	MIS(2),INT(68),UT3(1),2KU(2),2KD(2)		4	http://www.ncbi.nlm.nih.gov/pubmed?term=L3MBTL1[TIAB] AND cancer[MH]	Q9Y468[WEB:]https://www.uniprot.org/uniprot/Q9Y468
LAMA5	124	FSI	FSI(1),MIS(8),SYN(6),INT(94),2KU(4),2KD(11)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=LAMA5[TIAB] AND cancer[MH]	O15230[WEB:]https://www.uniprot.org/uniprot/O15230
LAMP5	25	MIS	MIS(1),INT(18),2KU(2),2KD(4)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=LAMP5[TIAB] AND cancer[TIAB]	Q9UJQ1[WEB:]https://www.uniprot.org/uniprot/Q9UJQ1
LBP	48	INT	INT(42),2KU(3),2KD(3)		100	http://www.ncbi.nlm.nih.gov/pubmed?term=LBP[TIAB] AND cancer[MH]	P18428[WEB:]https://www.uniprot.org/uniprot/P18428
LINC00493	17	MIS	MIS(1),INT(3),UT5(2),2KU(5),2KD(6)				
LINC01620	10	SYN	SYN(1),INT(3),2KU(2),2KD(4)				
LPIN3	24	IND	IND(2),MIS(2),INT(11),UT3(1),2KU(4),2KD(4)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=LPIN3[TIAB] AND cancer[TIAB]	Q9BQK8[WEB:]https://www.uniprot.org/uniprot/Q9BQK8
LRRN4	39	FSD	FSD(1),INT(24),UT5(2),UT3(1),2KU(8),2KD(3)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=LRRN4[TIAB] AND cancer[MH]	Q8WUT4[WEB:]https://www.uniprot.org/uniprot/Q8WUT4
LSM14B	55	FSI	FSI(1),FSD(1),MIS(3),INT(36),UT5(1),UT3(2),2KU(8),2KD(3)				Q9BX40[WEB:]https://www.uniprot.org/uniprot/Q9BX40
MACROD2	3541	SPL	SPL(1),INT(3527),UT5(1),UT3(4),2KU(2),2KD(6)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=MACROD2[TIAB] AND cancer[MH]	A1Z1Q3[WEB:]https://www.uniprot.org/uniprot/A1Z1Q3
MAFB	9	MIS	MIS(2),UT3(2),2KU(4),2KD(1)		21	http://www.ncbi.nlm.nih.gov/pubmed?term=MAFB[MH] AND cancer[MH]	Q9Y5Q3[WEB:]https://www.uniprot.org/uniprot/Q9Y5Q3
MANBAL	27	INT	INT(27)				Q9NQG1[WEB:]https://www.uniprot.org/uniprot/Q9NQG1
MAP1LC3A	31	FSD	FSD(1),INT(21),UT5(1),2KU(7),2KD(1)		5	http://www.ncbi.nlm.nih.gov/pubmed?term=MAP1LC3A[TIAB] AND cancer[MH]	Q9H492[WEB:]https://www.uniprot.org/uniprot/Q9H492
MAPRE1	43	SYN	SYN(1),INT(32),UT3(4),2KU(4),2KD(2)		4	http://www.ncbi.nlm.nih.gov/pubmed?term=MAPRE1[TIAB] AND cancer[MH]	Q15691[WEB:]https://www.uniprot.org/uniprot/Q15691
MATN4	14	INT	INT(11),2KU(1),2KD(2)				O95460[WEB:]https://www.uniprot.org/uniprot/O95460
MAVS	60	MIS	MIS(4),SYN(2),INT(30),UT3(17),2KU(2),2KD(5)		9	http://www.ncbi.nlm.nih.gov/pubmed?term=MAVS[TIAB] AND cancer[MH]	Q7Z434[WEB:]https://www.uniprot.org/uniprot/Q7Z434
MC3R	7	MIS	MIS(1),2KU(3),2KD(3)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=MC3R[TIAB] AND cancer[MH]	P41968[WEB:]https://www.uniprot.org/uniprot/P41968
MCM8	81	SYN	SYN(1),INT(64),UT3(6),2KU(2),2KD(8)		4	http://www.ncbi.nlm.nih.gov/pubmed?term=MCM8[TIAB] AND cancer[MH]	Q9UJA3[WEB:]https://www.uniprot.org/uniprot/Q9UJA3
MGME1	46	INT	INT(38),UT3(2),2KU(1),2KD(5)				Q9BQP7[WEB:]https://www.uniprot.org/uniprot/Q9BQP7
MKKS	21	IND	IND(1),MIS(1),INT(16),UT3(1),2KU(1),2KD(1)		8	http://www.ncbi.nlm.nih.gov/pubmed?term=MKKS[TIAB] AND cancer[MH]	Q9NPJ1[WEB:]https://www.uniprot.org/uniprot/Q9NPJ1
MMP24	27	INT	INT(25),UT3(2)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=MMP24[TIAB] AND cancer[MH]	Q9Y5R2[WEB:]https://www.uniprot.org/uniprot/Q9Y5R2
MMP24-AS1	1	2KD	2KD(1)				
MOCS3	9	UT3	UT3(2),2KU(3),2KD(4)				O95396[WEB:]https://www.uniprot.org/uniprot/O95396
MRGBP	9	INT	INT(3),UT3(3),2KD(3)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=MRGBP[TIAB] AND cancer[MH]	Q9NV56[WEB:]https://www.uniprot.org/uniprot/Q9NV56
MROH8	80	SYN	SYN(2),INT(75),UT3(1),2KU(2)				Q9H579[WEB:]https://www.uniprot.org/uniprot/Q9H579
MRPS26	27	FSI	FSI(1),MIS(2),SYN(1),INT(2),UT5(1),UT3(1),2KU(11),2KD(8)				Q9BYN8[WEB:]https://www.uniprot.org/uniprot/Q9BYN8
MTG2	56	STG	STG(1),SPL(1),MIS(5),SYN(3),INT(30),UT3(6),2KU(4),2KD(6)				Q9H4K7[WEB:]https://www.uniprot.org/uniprot/Q9H4K7
MTRNR2L3	17	UT5	UT5(3),2KU(11),2KD(3)				P0CJ70[WEB:]https://www.uniprot.org/uniprot/P0CJ70
MYBL2	49	MIS	MIS(1),INT(45),2KU(2),2KD(1)		43	http://www.ncbi.nlm.nih.gov/pubmed?term=MYBL2[TIAB] AND cancer[MH]	P10244[WEB:]https://www.uniprot.org/uniprot/P10244
MYH7B	22	MIS	MIS(6),SYN(2),INT(11),2KU(2),2KD(1)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=MYH7B[TIAB] AND cancer[MH]	A7E2Y1[WEB:]https://www.uniprot.org/uniprot/A7E2Y1
MYL9	30	INT	INT(17),UT3(5),2KU(2),2KD(6)		11	http://www.ncbi.nlm.nih.gov/pubmed?term=MYL9[TIAB] AND cancer[MH]	P24844[WEB:]https://www.uniprot.org/uniprot/P24844
MYLK2	69	FSD	FSD(1),STG(1),MIS(5),SYN(4),INT(47),UT3(2),2KU(5),2KD(4)		3	http://www.ncbi.nlm.nih.gov/pubmed?term=MYLK2[TIAB] AND cancer[MH]	Q9H1R3[WEB:]https://www.uniprot.org/uniprot/Q9H1R3
NAA20	41	SYN	SYN(1),INT(33),UT3(5),2KU(1),2KD(1)				P61599[WEB:]https://www.uniprot.org/uniprot/P61599
NANP	23	INT	INT(9),UT3(4),2KU(3),2KD(7)		3	http://www.ncbi.nlm.nih.gov/pubmed?term=NANP[TIAB] AND cancer[MH]	Q8TBE9[WEB:]https://www.uniprot.org/uniprot/Q8TBE9
NAPB	94	FSI	FSI(1),FSD(1),SYN(2),INT(77),UT3(4),2KU(5),2KD(4)		63	http://www.ncbi.nlm.nih.gov/pubmed?term=NAPB[MH] AND cancer[MH]	Q9H115[WEB:]https://www.uniprot.org/uniprot/Q9H115
NCOA3	222	MIS	MIS(2),INT(211),UT3(4),2KU(3),2KD(2)		35	http://www.ncbi.nlm.nih.gov/pubmed?term=NCOA3[TIAB] AND cancer[MH]	Q9Y6Q9[WEB:]https://www.uniprot.org/uniprot/Q9Y6Q9
NCOA5	28	INT	INT(26),2KU(1),2KD(1)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=NCOA5[TIAB] AND cancer[MH]	Q9HCD5[WEB:]https://www.uniprot.org/uniprot/Q9HCD5
NCOA6	105	FSD	FSD(1),MIS(4),SYN(5),INT(91),UT3(1),2KU(1),2KD(2)		4	http://www.ncbi.nlm.nih.gov/pubmed?term=NCOA6[TIAB] AND cancer[MH]	Q14686[WEB:]https://www.uniprot.org/uniprot/Q14686
NDRG3	65	STG	STG(1),INT(64)		5	http://www.ncbi.nlm.nih.gov/pubmed?term=NDRG3[TIAB] AND cancer[MH]	Q9UGV2[WEB:]https://www.uniprot.org/uniprot/Q9UGV2
NDUFAF5	55	FSD	FSD(1),MIS(1),INT(44),UT3(4),2KU(2),2KD(3)				Q5TEU4[WEB:]https://www.uniprot.org/uniprot/Q5TEU4
NECAB3	26	IND	IND(1),INT(19),UT5(1),UT3(2),2KU(1),2KD(2)				Q96P71[WEB:]https://www.uniprot.org/uniprot/Q96P71
NELFCD	28	MIS	MIS(3),SYN(2),INT(18),UT3(1),2KU(4)				Q8IXH7[WEB:]https://www.uniprot.org/uniprot/Q8IXH7
NEURL2	12	MIS	MIS(1),INT(5),2KU(3),2KD(3)				Q9BR09[WEB:]https://www.uniprot.org/uniprot/Q9BR09
NFATC2	198	INT	INT(185),UT3(9),2KD(4)		18	http://www.ncbi.nlm.nih.gov/pubmed?term=NFATC2[TIAB] AND cancer[MH]	Q13469[WEB:]https://www.uniprot.org/uniprot/Q13469
NFS1	27	SYN	SYN(1),INT(21),UT3(1),2KU(3),2KD(1)				Q9Y697[WEB:]https://www.uniprot.org/uniprot/Q9Y697
NINL	176	MIS	MIS(3),SYN(1),INT(169),2KU(2),2KD(1)				Q9Y2I6[WEB:]https://www.uniprot.org/uniprot/Q9Y2I6
NKX2-2	8	MIS	MIS(3),INT(1),UT5(1),UT3(1),2KU(2)		35	http://www.ncbi.nlm.nih.gov/pubmed?term=NKX2-2[TIAB] AND cancer[MH]	O95096[WEB:]https://www.uniprot.org/uniprot/O95096
NKX2-4	3	UT5	UT5(1),UT3(1),2KD(1)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=NKX2-4[TIAB] AND cancer[MH]	Q9H2Z4[WEB:]https://www.uniprot.org/uniprot/Q9H2Z4
NNAT	3	UT3	UT3(1),2KU(1),2KD(1)		27	http://www.ncbi.nlm.nih.gov/pubmed?term=NNAT[TIAB] AND cancer[MH]	Q16517[WEB:]https://www.uniprot.org/uniprot/Q16517
NOL4L	267	MIS	MIS(4),SYN(3),INT(250),UT3(7),2KU(2),2KD(1)				Q96MY1[WEB:]https://www.uniprot.org/uniprot/Q96MY1
NOP56	17	FSD	FSD(1),MIS(1),SYN(1),INT(5),UT5(3),2KU(3),2KD(3)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=NOP56[TIAB] AND cancer[TIAB]	O00567[WEB:]https://www.uniprot.org/uniprot/O00567
NPEPL1	93	FSD	FSD(1),SPL(1),MIS(2),SYN(3),INT(74),UT5(1),2KU(7),2KD(4)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=NPEPL1[TIAB] AND cancer[MH]	Q8NDH3[WEB:]https://www.uniprot.org/uniprot/Q8NDH3
NRSN2	80	SPL	SPL(1),MIS(2),SYN(1),INT(56),UT5(2),2KD(18)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=NRSN2[TIAB] AND cancer[MH]	Q9GZP1[WEB:]https://www.uniprot.org/uniprot/Q9GZP1
NSFL1C	37	FSD	FSD(1),SYN(3),INT(29),UT3(1),2KU(3)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=NSFL1C[TIAB] AND cancer[MH]	Q9UNZ2[WEB:]https://www.uniprot.org/uniprot/Q9UNZ2
NTSR1	112	MIS	MIS(1),SYN(1),INT(99),UT3(5),2KU(3),2KD(3)		18	http://www.ncbi.nlm.nih.gov/pubmed?term=NTSR1[TIAB] AND cancer[MH]	P30989[WEB:]https://www.uniprot.org/uniprot/P30989
NXT1	10	INT	INT(6),UT5(1),2KU(3)				Q9UKK6[WEB:]https://www.uniprot.org/uniprot/Q9UKK6
OCSTAMP	23	FSI	FSI(1),SYN(2),INT(12),UT3(1),2KU(6),2KD(1)				Q9BR26[WEB:]https://www.uniprot.org/uniprot/Q9BR26
OGFR	14	INT	INT(12),2KU(2)		38	http://www.ncbi.nlm.nih.gov/pubmed?term=OGFR[TIAB] AND cancer[MH]	Q9NZT2[WEB:]https://www.uniprot.org/uniprot/Q9NZT2
OSBPL2	135	INT	INT(122),UT3(4),2KU(8),2KD(1)				Q9H1P3[WEB:]https://www.uniprot.org/uniprot/Q9H1P3
OSER1	58	STG	STG(1),MIS(2),SYN(1),INT(33),UT3(1),2KD(20)				Q9NX31[WEB:]https://www.uniprot.org/uniprot/Q9NX31
OTOR	8	SYN	SYN(1),INT(1),UT5(1),UT3(1),2KU(1),2KD(3)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=OTOR[TIAB] AND cancer[MH]	Q9NRC9[WEB:]https://www.uniprot.org/uniprot/Q9NRC9
OVOL2	87	SYN	SYN(1),INT(73),2KU(11),2KD(2)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=OVOL2[TIAB] AND cancer[TIAB]	Q9BRP0[WEB:]https://www.uniprot.org/uniprot/Q9BRP0
OXT	8	INT	INT(1),2KU(4),2KD(3)		14	http://www.ncbi.nlm.nih.gov/pubmed?term=OXT[TIAB] AND cancer[MH]	P01178[WEB:]https://www.uniprot.org/uniprot/P01178
PABPC1L	84	STL	STL(1),SYN(3),INT(66),UT5(1),UT3(1),2KU(6),2KD(6)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=PABPC1L[TIAB] AND cancer[MH]	Q4VXU2[WEB:]https://www.uniprot.org/uniprot/Q4VXU2
PAK7	658	MIS	MIS(4),SYN(2),INT(647),UT5(1),2KU(2),2KD(2)		5	http://www.ncbi.nlm.nih.gov/pubmed?term=PAK7[TIAB] AND cancer[MH]	
PANK2	96	MIS	MIS(1),SYN(1),INT(70),UT3(10),2KU(4),2KD(10)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=PANK2[TIAB] AND cancer[TIAB]	Q9BZ23[WEB:]https://www.uniprot.org/uniprot/Q9BZ23
PARD6B	115	FSI	FSI(1),INT(95),UT5(3),2KU(3),2KD(13)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=PARD6B[TIAB] AND cancer[MH]	Q9BYG5[WEB:]https://www.uniprot.org/uniprot/Q9BYG5
